"","Year","Total","Gas","Liquids","Solids","CementProduction","GasFlaring","PerCapita"
"111",1861,4.3956043956044,NA,NA,4.3956043956044,NA,NA,NA
"112",1862,2.10526315789474,NA,NA,1.05263157894737,NA,NA,NA
"113",1863,7.21649484536082,NA,NA,7.29166666666667,NA,NA,NA
"114",1864,7.69230769230769,NA,NA,8.7378640776699,NA,NA,NA
"115",1865,6.25,NA,NA,6.25,NA,NA,NA
"116",1866,2.52100840336134,NA,NA,2.52100840336134,NA,NA,NA
"117",1867,6.55737704918033,NA,NA,6.55737704918033,NA,NA,NA
"118",1868,3.84615384615385,NA,NA,3.07692307692308,NA,NA,NA
"119",1869,5.18518518518519,NA,NA,5.97014925373134,NA,NA,NA
"120",1870,3.52112676056338,NA,Inf,2.8169014084507,NA,NA,NA
"121",1871,6.12244897959184,NA,0,6.84931506849315,NA,NA,NA
"122",1872,10.8974358974359,NA,0,10.8974358974359,NA,NA,NA
"123",1873,6.35838150289017,NA,0,5.78034682080925,NA,NA,NA
"124",1874,-5.43478260869565,NA,0,-5.46448087431694,NA,NA,NA
"125",1875,8.04597701149425,NA,0,8.09248554913295,NA,NA,NA
"126",1876,1.59574468085106,NA,0,1.60427807486631,NA,NA,NA
"127",1877,1.57068062827225,NA,100,1.05263157894737,NA,NA,NA
"128",1878,1.03092783505155,NA,0,1.04166666666667,NA,NA,NA
"129",1879,7.14285714285714,NA,50,6.70103092783505,NA,NA,NA
"130",1880,12.3809523809524,NA,0,12.56038647343,NA,NA,NA
"131",1881,2.96610169491525,NA,33.3333333333333,2.57510729613734,NA,NA,NA
"132",1882,5.34979423868313,NA,0,5.43933054393306,NA,NA,NA
"133",1883,6.25,NA,-25,6.74603174603175,NA,NA,NA
"134",1884,1.10294117647059,NA,33.3333333333333,0.743494423791822,NA,NA,NA
"135",1885,0.727272727272727,Inf,0,0.738007380073801,NA,NA,NA
"136",1886,1.44404332129964,100,25,0.732600732600733,NA,NA,NA
"137",1887,4.98220640569395,50,0,4.36363636363636,NA,NA,NA
"138",1888,10.8474576271186,66.6666666666667,0,10.4529616724739,NA,NA,NA
"139",1889,0,-40,20,0.315457413249211,NA,NA,NA
"140",1890,8.86850152905199,0,33.3333333333333,8.49056603773585,NA,NA,NA
"141",1891,4.49438202247191,-33.3333333333333,12.5,4.34782608695652,NA,NA,NA
"142",1892,0.537634408602151,0,0,0.833333333333333,NA,NA,NA
"143",1893,-1.06951871657754,0,11.1111111111111,-1.37741046831956,NA,NA,NA
"144",1894,3.51351351351351,0,-10,3.91061452513966,NA,NA,NA
"145",1895,6.00522193211488,0,22.2222222222222,5.64516129032258,NA,NA,NA
"146",1896,3.20197044334975,0,9.09090909090909,3.05343511450382,NA,NA,NA
"147",1897,5.01193317422434,0,8.33333333333333,4.93827160493827,NA,NA,NA
"148",1898,5.68181818181818,0,0,5.64705882352941,NA,NA,NA
"149",1899,9.03225806451613,50,7.69230769230769,9.35412026726058,NA,NA,NA
"150",1900,5.32544378698225,0,14.2857142857143,4.88798370672098,NA,NA,NA
"151",1901,3.37078651685393,33.3333333333333,12.5,3.10679611650485,NA,NA,NA
"152",1902,2.53623188405797,0,5.55555555555556,2.25988700564972,NA,NA,NA
"153",1903,9.01060070671378,0,5.26315789473684,9.20810313075506,NA,NA,NA
"154",1904,1.13452188006483,0,15,0.674536256323777,NA,NA,NA
"155",1905,6.25,25,0,6.53266331658291,NA,NA,NA
"156",1906,6.63650075414781,0,0,6.91823899371069,NA,NA,NA
"157",1907,10.8910891089109,0,21.7391304347826,10.2941176470588,NA,NA,NA
"158",1908,-4.33673469387755,0,7.14285714285714,-4.8,NA,NA,NA
"159",1909,4.66666666666667,20,6.66666666666667,4.6218487394958,NA,NA,NA
"160",1910,4.3312101910828,16.6666666666667,6.25,4.14993306559572,NA,NA,NA
"161",1911,2.07570207570208,0,5.88235294117647,1.79948586118252,NA,NA,NA
"162",1912,5.14354066985646,14.2857142857143,2.77777777777778,5.3030303030303,NA,NA,NA
"163",1913,7.28100113765643,0,10.8108108108108,7.31414868105516,NA,NA,NA
"164",1914,-9.86214209968187,0,2.4390243902439,-10.6145251396648,NA,NA,NA
"165",1915,-1.41176470588235,12.5,7.14285714285714,-2,NA,NA,NA
"166",1916,7.51789976133652,11.1111111111111,6.66666666666667,7.39795918367347,NA,NA,NA
"167",1917,5.99334073251942,10,12.5,5.81947743467934,NA,NA,NA
"168",1918,-1.98952879581152,-9.09090909090909,-1.85185185185185,-2.02020202020202,NA,NA,NA
"169",1919,-13.8888888888889,0,15.0943396226415,-15.807560137457,NA,NA,NA
"170",1920,15.6327543424318,10,27.8688524590164,14.6938775510204,NA,NA,NA
"171",1921,-13.8412017167382,-9.09090909090909,7.69230769230769,-15.8956109134045,NA,NA,NA
"172",1922,5.23038605230386,10,11.9047619047619,4.37235543018336,NA,NA,NA
"173",1923,14.792899408284,27.2727272727273,18.0851063829787,14.1891891891892,NA,NA,NA
"174",1924,-0.721649484536082,14.2857142857143,-0.900900900900901,-1.06508875739645,NA,NA,NA
"175",1925,1.24610591900312,6.25,5.45454545454545,0.717703349282297,NA,NA,NA
"176",1926,0.82051282051282,11.7647058823529,2.58620689655172,0.475059382422803,NA,NA,NA
"177",1927,8.03662258392675,10.5263157894737,14.2857142857143,6.97399527186761,NA,NA,NA
"178",1928,0.282485875706215,9.52380952380952,5.14705882352941,-1.65745856353591,Inf,NA,NA
"179",1929,7.51173708920188,21.7391304347826,11.8881118881119,6.40449438202247,0,NA,NA
"180",1930,-8.03493449781659,0,-5,-8.97571277719113,0,NA,NA
"181",1931,-10.7312440645774,-10.7142857142857,-3.28947368421053,-11.9489559164733,-20,NA,NA
"182",1932,-9.8936170212766,-4,-4.08163265306122,-11.0671936758893,-12.5,NA,NA
"183",1933,5.43093270365998,4.16666666666667,9.21985815602837,4.88888888888889,0,NA,NA
"184",1934,8.95856662933931,12,5.19480519480519,9.46327683615819,14.2857142857143,NA,NA
"185",1935,5.54984583761562,7.14285714285714,8.64197530864197,4.64516129032258,12.5,NA,NA
"186",1936,10.0292112950341,13.3333333333333,9.09090909090909,10.1109741060419,22.2222222222222,NA,NA
"187",1937,6.99115044247788,11.7647058823529,14.0625,5.37513997760358,0,NA,NA
"188",1938,-5.54177005789909,-2.63157894736842,-2.28310502283105,-6.48246546227418,9.09090909090909,NA,NA
"189",1939,4.37828371278459,2.7027027027027,3.73831775700935,4.31818181818182,8.33333333333333,NA,NA
"190",1940,8.97651006711409,10.5263157894737,3.15315315315315,10.7843137254902,-15.3846153846154,NA,NA
"191",1941,2.69438029253272,0,3.05676855895197,2.55653883972468,9.09090909090909,NA,NA
"192",1942,0.599700149925038,7.14285714285714,-5.93220338983051,1.91754554170662,-8.33333333333333,NA,NA
"193",1943,3.65126676602086,11.1111111111111,7.65765765765766,2.72812793979304,-9.09090909090909,NA,NA
"194",1944,-0.575125808770669,8,15.0627615062762,-4.12087912087912,-30,NA,NA
"195",1945,-16.1243673174259,9.25925925925926,0,-21.6809933142311,0,NA,NA
"196",1946,6.72413793103448,3.38983050847458,6.18181818181818,6.70731707317073,42.8571428571429,NA,NA
"197",1947,12.4394184168013,9.83606557377049,10.2739726027397,13.3714285714286,20,NA,NA
"198",1948,5.5316091954023,13.4328358208955,13.0434782608696,2.31854838709677,16.6666666666667,NA,NA
"199",1949,-3.40367597004765,6.57894736842105,-0.549450549450549,-5.41871921182266,14.2857142857143,NA,NA
"200",1950,14.8696264975335,19.7530864197531,16.8508287292818,11.4583333333333,12.5,Inf,NA
"201",1951,8.40490797546012,18.5567010309278,13.2387706855792,5.51401869158879,11.1111111111111,4.34782608695652,6.15384615384614
"202",1952,1.58460667798529,7.82608695652174,5.21920668058455,-0.885739592559788,10,8.33333333333333,0
"203",1953,2.56267409470752,5.64516129032258,5.75396825396825,0.536193029490617,9.09090909090909,3.84615384615385,0
"204",1954,1.30363932645301,5.34351145038168,4.50281425891182,-0.8,12.5,0,0
"205",1955,9.49061662198391,8.69565217391304,12.2082585278276,8.24372759856631,11.1111111111111,14.8148148148148,7.24637681159421
"206",1956,6.61116552399608,7.33333333333333,8.64,5.38079470198675,6.66666666666667,3.2258064516129,5.40540540540541
"207",1957,4.27193385392742,10.5590062111801,5.15463917525773,2.827965435978,6.25,9.375,1.28205128205128
"208",1958,2.6431718061674,7.86516853932584,2.38095238095238,2.06264323911383,5.88235294117647,0,1.26582278481013
"209",1959,5.32188841201717,7.29166666666667,7.9343365253078,3.44311377245509,11.1111111111111,2.85714285714286,3.74999999999999
"210",1960,4.68622656886716,10.1941747572816,7.60456273764259,2.0260492040521,7.5,8.33333333333333,2.40963855421687
"211",1961,0.428182172051382,5.72687224669604,6.47820965842167,-4.32624113475177,4.65116279069767,7.69230769230769,-1.1764705882353
"212",1962,4.10852713178295,9.58333333333333,8.4070796460177,0.148257968865827,8.88888888888889,4.76190476190476,2.38095238095238
"213",1963,5.47282204020849,8.74524714828897,7.34693877551021,3.33086602516654,4.08163265306122,6.81818181818182,3.48837209302326
"214",1964,5.71831980232969,10.4895104895105,8.07984790874525,2.79369627507163,11.7647058823529,8.51063829787234,3.37078651685394
"215",1965,4.50751252086811,6.64556962025316,7.21196130167106,1.74216027874564,3.50877192982456,7.84313725490196,2.17391304347825
"216",1966,5.04792332268371,8.01186943620178,8.53158326497129,1.23287671232877,6.77966101694915,9.09090909090909,3.19148936170213
"217",1967,3.19343065693431,7.69230769230769,7.55857898715042,-2.0297699594046,3.17460317460317,10,1.03092783505155
"218",1968,5.09873268493958,8.16326530612245,8.9950808151792,0,7.69230769230769,10.6060606060606,3.06122448979592
"219",1969,6.00112170499159,10.1415094339623,7.86589297227595,2.62430939226519,5.71428571428571,9.58904109589041,3.96039603960396
"220",1970,7.22222222222222,5.56745182012848,9.92229527794381,4.71063257065949,5.40540540540541,8.75,4.76190476190477
"221",1971,3.82432765852455,7.50507099391481,5.87275693311582,0.19280205655527,7.69230769230769,1.14942528735632,1.81818181818182
"222",1972,3.99239543726236,5.66037735849057,5.64971751412429,1.09044259140475,5.95238095238095,7.95454545454545,1.78571428571427
"223",1973,5.43875685557587,5,8.94506562955761,0.317258883248731,6.74157303370786,15.7894736842105,3.50877192982456
"224",1974,0.195058517555267,1.53061224489796,0.178491744756805,-0.126502213788741,1.05263157894737,-2.72727272727273,-1.69491525423729
"225",1975,-0.584036340038936,1.17252931323283,-5.03340757238307,5.95313489550348,-1.04166666666667,-14.018691588785,-2.58620689655173
"226",1976,5.83115752828547,4.3046357615894,8.53658536585366,2.21159593544531,8.42105263157895,17.3913043478261,4.42477876106195
"227",1977,3.125,3.17460317460317,3.63007778738116,2.69005847953216,4.85436893203883,-3.7037037037037,0.847457627118645
"228",1978,1.15629984051037,4.61538461538462,-0.250208507089241,1.36674259681093,7.40740740740741,1.92307692307692,-0.840336134453782
"229",1979,5.57745368545526,6.02941176470588,6.35451505016722,5.33707865168539,2.58620689655172,-7.54716981132075,4.23728813559322
"230",1980,-1.04536120963226,2.21914008321775,-4.79559748427673,3.2,0.840336134453782,-12.2448979591837,-3.25203252032521
"231",1981,-3.07489152990002,2.44233378561737,-5.49132947976879,-1.3953488372093,0.833333333333333,-24.4186046511628,-4.20168067226891
"232",1982,-0.856364344102764,-2.25165562913907,-4.06290956749672,3.56394129979036,0,-1.53846153846154,-2.6315789473684
"233",1983,-0.372987828818218,0.13550135501355,-0.910746812386157,0.0506072874493927,3.30578512396694,-9.375,-2.7027027027027
"234",1984,3.60591133004926,9.20162381596752,1.05698529411765,4.90642387455741,2.4,-12.0689655172414,1.85185185185185
"235",1985,3.02396348421453,3.46964064436183,-0.591177808094589,6.8466730954677,2.34375,-3.92156862745098,1.81818181818182
"236",1986,3.06442680450434,-0.598802395209581,4.89478499542543,2.75270758122744,4.58015267175572,-6.12244897959184,0.892857142857124
"237",1987,2.54343542898083,7.46987951807229,0.56694286960314,2.72288098375055,4.37956204379562,-4.34782608695652,0.88495575221239
"238",1988,3.68558951965065,4.82062780269058,4.59670424978317,2.05215904232578,6.29370629370629,13.6363636363636,1.75438596491228
"239",1989,2.1900269541779,5.02673796791444,1.9485903814262,1.71763720150817,2.63157894736842,-18,0
"240",1990,0.494559841740851,4.27698574338086,1.26067507116714,-1.81219110378913,0.641025641025641,-2.4390243902439,-0.862068965517242
"241",1991,1.23031496062992,2.5390625,4.53815261044177,-3.02013422818792,2.54777070063694,12.5,-0.869565217391305
"242",1992,-0.988494571382272,3.23809523809524,-3.95697272378025,0.475778546712803,3.72670807453416,-20,-2.6315789473684
"243",1993,-0.0981996726677578,3.04428044280443,0.52,-2.62591476538958,5.38922155688623,2.77777777777778,-0.900900900900902
"244",1994,1.70380078636959,1.43240823634736,0.875447672105054,2.34305923961096,5.68181818181818,5.40540540540541,0
"245",1995,2.19072164948454,1.67696381288614,0.946745562130178,3.585313174946,5.91397849462366,0,0.90909090909091
"246",1996,2.3171500630517,4.16666666666667,2.61821023837437,1.00083402835696,3.04568527918782,2.56410256410256,0.900900900900902
"247",1997,1.50978277615159,-0.416666666666667,2.77989337395278,0.949628406275805,2.95566502463054,0,0
"248",1998,-0.27318257702231,2.51046025104602,2.18599481289366,-4.17177914110429,0,-10,-1.78571428571429
"249",1999,-0.182620605691676,2.69387755102041,-0.652646845540247,-1.45113102859582,3.82775119617225,-2.77777777777778,-1.81818181818182
"250",2000,2.56136606189968,2.14626391096979,3.75912408759124,0.779558250324816,4.14746543778802,31.4285714285714,1.85185185185185
"251",2001,2.3636093355136,2.1011673151751,0.0703482237073514,5.0709067468844,4.86725663716814,2.17391304347826,0.90909090909091
"252",2002,0.871333139703747,2.51524390243902,-0.492091388400703,0.940695296523517,6.32911392405063,4.25531914893617,0
"253",2003,6.06104232651886,3.3457249070632,4.52137054044507,9.15721231766613,9.52380952380952,-2.04081632653061,4.50450450450449
"254",2004,4.99524908375187,3.23741007194245,2.87259209192295,7.79510022271715,7.97101449275362,12.5,3.44827586206897
"255",2005,3.7491919844861,2.92682926829268,0.821287779237845,6.68044077134986,7.38255033557047,11.1111111111111,2.5
"256",2006,3.51401869158878,3.5883547731889,0.749429781687846,5.45513234344739,11.25,3.33333333333333,2.4390243902439
"257",2007,2.17888527747683,2.02614379084967,0.19404915912031,3.52004897459443,7.30337078651685,6.45161290322581,0.793650793650794
"258",2008,2.94533459000943,4.16399743754004,0.871530019367334,4.37610881135423,1.57068062827225,4.54545454545455,1.5748031496063
"259",2009,-1.11009384298466,-2.8290282902829,-1.92,-0.368271954674221,6.95876288659794,-7.2463768115942,-2.32558139534884
"260",2010,5.74007638004861,7.59493670886076,2.08809135399674,7.90446403184532,7.95180722891566,3.125,4.76190476190477
"261",2011,4.06041370252818,3.64705882352941,0.926813678491531,6.1133069828722,10.7142857142857,-3.03030303030303,3.03030303030303
"262",2012,1.71434581405133,1.41884222474461,1.77327422419253,1.46511050409734,4.83870967741935,1.5625,0
"263",2013,1.08572019439562,1.06323447118075,0.0622277535780958,1.10132158590308,6.53846153846154,4.61538461538462,0
