"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"12",12,33.5077974588706,6.98453673057221,63.2966309150146,8.47541179821643,89.232036736133,10.1676285484077,111.231697858586,12.0639017997832,129.272971672655,14.1620612122245,143.398342258452,16.4546469404578,153.718228717006,18.9287490767586,160.410726638692,21.5661272434381,163.718063418008,24.3436270081698,163.939794311242,27.2338862229653
"13",13,37.8689925295242,6.86934633615565,70.5913069735729,8.58810622075007,98.0056620418509,10.5665253251382,120.059154630411,12.8025949897831,136.819848628043,15.2847298895276,148.482319773045,17.9914836871446,155.364936661327,20.8920054028287,157.898490547406,23.9472590231686,156.606761398131,27.1119371281092,152.080576116603,30.3369096175057
"14",14,42.8414387845631,6.78601424443446,78.6471119427813,8.76494655226318,107.2510013505,11.0737783688534,128.700298241005,13.6995339718429,143.271274055595,16.6117478248569,151.464611387393,19.7633267368135,153.979073032207,23.0932902288258,151.665828131827,26.5311321245162,145.468986989128,30.0022529405667,136.360144417648,33.433718828858
"15",15,48.5025004030346,6.73743614605685,87.4831570046541,9.01603695731836,116.824463432669,11.7077632692038,136.809016809816,14.7776913811897,148.125666115139,18.1611467087715,151.823087625736,21.7686050038864,149.216053411665,25.4945091400828,141.760332508796,29.2284416432301,130.918810960395,32.8665376361942,118.041906021956,36.3210596153372
"16",16,54.9351754897461,6.72734683814355,97.0922746386165,9.35398648614929,126.511824499989,12.490128267665,143.953605885985,16.0605282407097,150.849479801651,19.9432213269845,149.137936900932,23.9851515786872,141.01736371849,28.0239737206295,128.678062949973,31.9104531671268,114.074092875318,35.5260587821001,98.7762161690326,38.7924137403018
"17",17,62.2265307963573,6.76054747537018,107.428731317549,9.79448698672094,136.012700246174,13.4457707696629,149.624617536343,17.569472781358,150.935130134533,21.9544848233801,143.194564054103,26.3629900224543,129.702167512194,30.5746419295974,113.35192252595,34.4211058101721,96.3628821603489,37.8023587719984,80.2137809495331,40.6845608986173
"18",18,70.4649827988652,6.84320551727803,118.392384472162,10.3569719482746,144.92728440268,14.6022778204527,153.261284591353,19.319824787516,147.985125922905,24.1704636060646,134.083108230644,28.8198773847596,115.986627722853,33.0115071622955,97.0053218406186,36.6017490387157,79.2080161551255,39.5549850771278,63.6219125799434,41.9137953096361
"19",19,79.7359157679972,6.98325160047822,129.808995317919,11.0653099557284,152.750056577099,15.9884324000418,154.303729859478,21.3148147131548,141.813460103901,26.5388095261198,122.257142491026,31.2431422540963,100.895019349389,35.1898251959842,80.9007417544406,38.3222260322101,63.7189004161018,40.7103077202763,49.679936885099,42.4847413652376
"20",20,90.1149393075721,7.19090498185678,141.407026699158,11.9484212261764,158.877728355664,17.6312447337252,152.274921716339,23.5380293890005,132.540548065307,28.9754294557512,108.511598044967,33.5006824358179,85.5692422787621,36.9808120302354,66.0779249884574,39.5064112422867,50.5225200639507,41.2688083777996,38.5095315660712,42.4711435665805
"21",21,101.657847509021,7.47936769877048,152.792524845562,13.0405908842103,162.641152913026,19.550894608416,146.887390233937,25.9453795021174,120.64446467344,31.3670772834566,93.8617917868849,35.4608609007346,71.0388900917088,38.2961914930042,53.1884931998392,40.1415923588033,39.7769820839136,41.2903721581924,29.8559994410417,41.9831302320758
