72,Random,D,35,Leopard,22/09/2013 12:43
301,Random,D,9,Lion,27/09/2013 00:23
523,Random,D,22,Lion,1/10/13 22:22
647,Random,D,39,Leopard,5/10/13 2:32
737,Random,D,40,Leopard,7/10/13 21:35
746,Random,D,44,Leopard,8/10/13 2:36
882,Random,D,40,Leopard,11/10/13 2:29
957,Random,D,8,Lion,13/10/2013 01:15
1038,Random,D,28,Serval,15/10/2013 05:45
1206,Random,D,49,Lion,17/10/2013 03:26
1207,Random,D,47,Lion,17/10/2013 04:44
1210,Random,D,13,Leopard,17/10/2013 06:11
1258,Random,D,35,Lion,18/10/2013 03:19
1306,Random,D,19,Leopard,18/10/2013 23:34
1313,Random,D,35,Caracal,19/10/2013 03:34
1373,Random,D,29,Lion,20/10/2013 00:23
1458,Random,D,26,Wildcat,22/10/2013 03:54
1495,Random,D,28,Serval,22/10/2013 22:14
1509,Random,D,33,Lion,23/10/2013 03:24
1515,Random,D,4,Serval,23/10/2013 07:11
1647,Random,D,11,Serval,26/10/2013 05:26
1764,Random,D,38,Leopard,28/10/2013 23:49
1812,Random,D,26,Wildcat,30/10/2013 00:44
1820,Random,D,49,Lion,30/10/2013 05:29
1961,Random,D,29,Lion,1/11/13 6:22
2061,Random,D,19,Leopard,3/11/13 3:24
2074,Random,D,G,Lion,3/11/13 7:21
2164,Random,D,22,Leopard,5/11/13 2:02
2165,Random,D,B,Leopard,5/11/13 2:36
2660,Random,D,13,Lion,16/11/2013 08:31
2762,Random,D,47,Leopard,18/11/2013 00:25
2911,Random,W,4,Serval,23/12/2013 08:07
3495,Random,W,5,Serval,31/12/2013 14:56
3508,Random,W,13,Lion,31/12/2013 21:18
3556,Random,W,32,Cheetah,1/1/14 20:30
3608,Random,W,19,Leopard,2/1/14 19:02
3722,Random,W,19,Leopard,5/1/14 0:05
3734,Random,W,46,Serval,5/1/14 8:10
3751,Random,W,27,Serval,5/1/14 13:44
3757,Random,W,4,Serval,5/1/14 17:03
3814,Random,W,11,Lion,7/1/14 1:28
3822,Random,W,23,Leopard,7/1/14 8:11
3840,Random,W,23,Leopard,7/1/14 22:51
3952,Random,W,9,Serval,10/1/14 15:29
3967,Random,W,17,Lion,10/1/14 17:21
4136,Random,W,15,Lion,14/01/2014 01:33
4140,Random,W,15,Lion,14/01/2014 03:28
4330,Random,W,15,Serval,16/01/2014 20:24
4348,Random,W,22,Lion,17/01/2014 05:15
4484,Random,W,27,Serval,19/01/2014 10:40
4566,Random,W,26,Serval,21/01/2014 04:23
4605,Random,W,23,Leopard,21/01/2014 22:01
4719,Random,W,22,Leopard,24/01/2014 04:58
4748,Random,W,27,Serval,25/01/2014 10:35
4751,Random,W,38,Cheetah,25/01/2014 11:32
4784,Random,W,27,Serval,26/01/2014 16:14
4844,Random,W,23,Leopard,28/01/2014 12:17
4846,Random,W,23,Leopard,28/01/2014 14:18
4869,Random,W,23,Lion,29/01/2014 08:52
4875,Random,W,9,Serval,29/01/2014 11:44
4917,Random,W,27,Serval,30/01/2014 16:10
5013,Random,W,23,Leopard,1/2/14 14:24
5051,Random,W,46,Serval,2/2/14 15:58
5068,Random,W,46,Serval,3/2/14 6:03
5092,Random,W,22,Serval,3/2/14 7:52
5107,Random,W,22,Serval,3/2/14 17:08
5138,Random,W,20,Lion,4/2/14 10:23
5507,Random,W,23,Leopard,11/2/14 18:17
5870,Trail,D,30,Lion,21/09/2013 05:02
5872,Trail,D,28,Lion,21/09/2013 05:28
5923,Trail,D,25,Leopard,22/09/2013 09:23
5966,Trail,D,15,Wildcat,23/09/2013 01:02
5968,Trail,D,2,Leopard,23/09/2013 02:08
5974,Trail,D,25,Leopard,23/09/2013 06:49
6012,Trail,D,24,Leopard,23/09/2013 16:40
6016,Trail,D,16,Lion,23/09/2013 18:50
6018,Trail,D,G,Lion,23/09/2013 19:44
6036,Trail,D,24,Leopard,24/09/2013 03:05
6039,Trail,D,49,Serval,24/09/2013 04:07
6112,Trail,D,47,Lion,25/09/2013 00:05
6116,Trail,D,32,Lion,25/09/2013 00:49
6126,Trail,D,17,Serval,25/09/2013 05:27
6191,Trail,D,F,Serval,25/09/2013 23:53
6195,Trail,D,G,Lion,26/09/2013 00:53
6279,Trail,D,24,Leopard,27/09/2013 04:00
6335,Trail,D,13,Lion,27/09/2013 20:38
6456,Trail,D,30,Lion,29/09/2013 02:21
6460,Trail,D,2,Leopard,29/09/2013 03:12
6522,Trail,D,H,Serval,29/09/2013 19:31
6537,Trail,D,37,Leopard,30/09/2013 01:45
6542,Trail,D,H,Serval,30/09/2013 03:25
6543,Trail,D,24,Leopard,30/09/2013 03:42
6565,Trail,D,13,Leopard,30/09/2013 09:34
